Unkown,DATABASE_NAME,USER_NAME,SESSION_ID,PLAN_ID,TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_SIZE,SQL_TEXT_TYPE,SQL_TEXT_HASH,newline,Clusters
6,CIW_STAGE,CIW_ETLUSER,8475199,10510659,0,1,0,0,External,1580626441,NA,4
11,CIW_STAGE,CIW_ETLUSER,8434579,10463758,4,4,0,0,External,1463824509,NA,4
12,CIW_STAGE,CIW_ETLUSER,8434681,10463851,0,1,0,0,External,1953664530,NA,4
13,CIW_STAGE,CIW_ETLUSER,8439700,10471018,0,1,0,0,External,845098298,NA,4
20,CIW_STAGE,CIW_ETLUSER,8471503,10506752,0,1,0,0,External,883804858,NA,4
24,CIW_STAGE,CIW_ETLUSER,8458857,10493286,0,1,0,0,External,445844356,NA,4
25,CIW_STAGE,CIW_ETLUSER,8457994,10492232,0,1,0,0,External,883804858,NA,4
26,CIW,CIW_ETLUSER,8455131,10489174,0,1,0,0,External,1953664530,NA,4
28,CIW_STAGE,CIW_ETLUSER,8450375,10484320,0,1,0,0,External,445844356,NA,4
30,CIW_STAGE,CIW_ETLUSER,8435236,10464343,0,1,0,0,External,1580626441,NA,4
40,CIW_STAGE,CIW_ETLUSER,8440992,10473097,0,1,0,0,External,300539526,NA,4
43,CIW_STAGE,CIW_ETLUSER,8438542,10468194,1,1,1,16,External,300539526,NA,4
44,CIW,CIW_ETLUSER,8427984,10456183,2,5,16,496,External,1629077774,NA,4
46,CIW_STAGE,CIW_ETLUSER,8427376,10455531,0,1,0,0,External,300539526,NA,4
47,CIW_STAGE,CIW_ETLUSER,8453214,10487131,1,1,1,12,External,883804858,NA,4
48,CIW_STAGE,CIW_ETLUSER,8450218,10484139,1,1,1,8,External,845098298,NA,4
49,CIW_STAGE,CIW_ETLUSER,8446935,10480233,0,1,0,0,External,1811111342,NA,4
50,CIW_STAGE,CIW_ETLUSER,8446034,10479117,0,1,0,0,External,883804858,NA,4
52,CIW_STAGE,CIW_ETLUSER,8449444,10483199,0,1,0,0,External,1594037545,NA,4
63,CIW_STAGE,CIW_ETLUSER,8451212,10485165,1,1,1,8,External,445844356,NA,4
65,CIW_STAGE,CIW_ETLUSER,8440485,10472445,0,1,0,0,External,1811111342,NA,4
66,CIW_STAGE,CIW_ETLUSER,8440495,10472457,0,1,0,0,External,1594037545,NA,4
67,CIW_STAGE,CIW_ETLUSER,8429241,10457578,1,1,0,0,External,1811111342,NA,4
68,CIW_STAGE,CIW_ETLUSER,8425935,10454017,1,2,1,24,External,670401081,NA,4
69,CIW_STAGE,CIW_ETLUSER,8429227,10457569,1,1,0,0,External,1811111342,NA,4
74,CIW_STAGE,CIW_ETLUSER,8433788,10463013,0,1,0,0,External,1811111342,NA,4
78,CIW_STAGE,CIW_ETLUSER,8446248,10479296,1,1,1,16,External,300539526,NA,4
79,CIW_STAGE,CIW_ETLUSER,8450384,10484327,1,1,2857,57140,External,1594037545,NA,4
80,CIW_STAGE,CIW_ETLUSER,8450038,10483923,0,1,0,0,External,1594037545,NA,4
81,CIW_STAGE,CIW_ETLUSER,8451853,10485741,0,1,0,0,External,445844356,NA,4
83,CIW,CIW_ETLUSER,8451885,10485769,0,1,0,0,External,1830938492,NA,4
84,CIW_STAGE,CIW_ETLUSER,8421956,10449779,1,1,1,20,External,37562516,NA,4
85,CIW_STAGE,CIW_ETLUSER,8422175,10450132,2,4,0,0,External,499110862,NA,4
86,CIW_STAGE,CIW_ETLUSER,8424083,10451978,1,1,8,32,External,263422040,NA,4
87,CIW_STAGE,CIW_ETLUSER,8422333,10450165,0,1,0,0,External,1953664530,NA,4
88,CIW_STAGE,CIW_ETLUSER,8422151,10450093,1,4,0,0,External,1573083002,NA,4
91,CIW_STAGE,CIW_ETLUSER,8423028,10450778,1,2,1,32,External,670401081,NA,4
92,CIW_STAGE,CIW_ETLUSER,8421996,10449825,1,1,1,8,External,1953664530,NA,4
101,CIW_STAGE,CIW_ETLUSER,8448902,10482539,0,1,0,0,External,37562516,NA,4
102,CIW_STAGE,CIW_ETLUSER,8449961,10483834,1,1,1,12,External,883804858,NA,4
103,CIW_STAGE,CIW_ETLUSER,8449447,10483201,0,1,0,0,External,1594037545,NA,4
104,CIW,CIW_ETLUSER,8440883,10473023,1,4,1,12,External,73539479,NA,4
108,CIW_STAGE,CIW_ETLUSER,8457157,10491285,0,1,0,0,External,445844356,NA,4
109,CIW_STAGE,CIW_ETLUSER,8454355,10488240,2,1,1,10,External,37562516,NA,4
110,CIW_STAGE,CIW_ETLUSER,8454114,10487987,0,1,0,0,External,883804858,NA,4
111,CIW,CIW_ETLUSER,8455725,10489846,0,1,0,0,External,1830938492,NA,4
126,CIW_STAGE,CIW_ETLUSER,8426409,10454510,0,1,0,0,External,782851085,NA,4
127,CIW_STAGE,CIW_ETLUSER,8426009,10454096,0,1,0,0,External,259061982,NA,4
133,CIW_STAGE,CIW_ETLUSER,8437358,10466976,1,5,0,0,External,2093240341,NA,4
136,CIW_STAGE,CIW_ETLUSER,8432402,10461502,1,1,23,644,External,1379471944,NA,4
139,CIW_STAGE,CIW_ETLUSER,8422537,10450350,0,1,0,0,External,37562516,NA,4
140,CIW_STAGE,CIW_ETLUSER,8422553,10450377,1,1,1,8,External,1953664530,NA,4
